"name","mean"
"Tonga",0.00761
"Trinidad and Tobago",0.0466151148091789
"Tunisia",0.0260716626720986
"Turkey",0.0450084325950581
"Turkmenistan",0.0297943386952096
"Tuvalu",0.03072
"Uganda",0.054898729669902
"Ukraine",0.00358874235673484
"United Arab Emirates",0.046062064136202
"United Kingdom",0.0274482147162238
"United Republic of Tanzania",0.0605397620018886
"United States",0.064576948061525
"Uruguay",0.0380303854651676
"Uzbekistan",0.0223949798249157
"Vanuatu",0.0471
"Venezuela",0.0446580111521347
"Viet Nam",0.0394380277681287
"Yemen",0.0410709384743544
"Zambia",0.168324393782656
"Zimbabwe",0.270136000026521
